id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
1,AKIVA,2,0,0,max_eval,NaN,1.1673250198364258,124,NaN,0.0,50001,50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,BEALE,2,0,0,first_order,9.573806517806676e-10,0.04181408882141113,964,2.798516365021717e-5,0.0,30247,17420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,BOXBODLS,2,0,0,first_order,9771.499999990652,0.0009779930114746094,3,6.512067964390932e-8,0.0,460,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,BRKMCC,2,0,0,first_order,0.1690426792820131,0.011334896087646484,304,2.3691184328055997e-5,0.0,9933,5847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,BROWNBS,2,0,0,max_eval,1.9436781861103946e11,0.0710749626159668,1087,8.801288504142324e9,0.0,50044,27094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,CLIFF,2,0,0,first_order,11396.391743805923,8.702278137207031e-5,1,2.1701146216033407,0.0,91,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,CLUSTERLS,2,0,0,first_order,1.9362497029347075e-9,0.0023238658905029297,43,3.5443727320633493e-6,0.0,1680,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,CUBE,2,0,0,max_eval,0.010547209833818063,0.05759596824645996,1139,1.0986969667048196,0.0,50040,27009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,DANIWOODLS,2,0,0,first_order,103.917818,3.2901763916015625e-5,1,9.102978144844748e-57,0.0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,DANWOODLS,2,0,0,max_eval,NaN,0.12010788917541504,124,NaN,0.0,50001,50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,DENSCHNA,2,0,0,first_order,2.357412527495004e-11,0.0015950202941894531,34,6.0186611152090504e-6,0.0,1393,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,DENSCHNB,2,0,0,first_order,4.193421678391655e-13,0.0006499290466308594,22,1.2992274046036989e-6,0.0,586,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,DENSCHNC,2,0,0,first_order,0.18336246824978836,0.004754066467285156,100,0.0015362846286843131,0.0,3469,2159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,DENSCHNF,2,0,0,first_order,1.1187290653019873e-9,0.0021598339080810547,34,0.0008139003470323234,0.0,1407,985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,DJTL,2,0,0,max_eval,-6632.807582301949,0.10627508163452148,1105,29481.50664149893,0.0,50026,26889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,EGGCRATE,2,0,0,first_order,9.48819733910788,0.00086212158203125,13,1.2879274975397468e-5,0.0,748,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,ELATVIDU,2,0,0,first_order,1.712780471505855,0.002004861831665039,46,0.011204749618159678,0.0,1795,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,EXP2,2,0,0,first_order,3.6586809289016014e-11,0.010793924331665039,142,3.779999537140373e-6,0.0,4893,2951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,EXPFIT,2,0,0,first_order,0.2405105940297273,0.02843499183654785,502,2.747569878429239e-5,0.0,16265,9510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,GBRAINLS,2,0,0,max_time,32.06696828599638,10.007394075393677,567,38.1610494650453,0.0,18453,10854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,HAIRY,2,0,0,first_order,20.00000000000075,0.011020183563232422,199,3.405752475664121e-5,0.0,7237,4452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,HILBERTA,2,0,0,first_order,1.895500179930871e-11,0.0074579715728759766,169,5.3247314473836876e-6,0.0,5636,3398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,HIMMELBB,2,0,0,first_order,3.8389998900341e-12,0.0001621246337890625,2,0.005690743313523701,0.0,126,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,HIMMELBCLS,2,0,0,first_order,1.4927175541103524e-11,0.002074003219604492,52,4.490340245584545e-5,0.0,1572,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,HIMMELBG,2,0,0,first_order,3.680877078742565e-14,0.00125885009765625,34,5.738492831545671e-7,0.0,972,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,HIMMELBH,2,0,0,first_order,-0.9999999999984805,0.0031659603118896484,76,2.774393891035221e-6,0.0,2320,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,HUMPS,2,0,0,max_eval,0.008191953793182025,0.08162403106689453,1596,0.03440857417838339,0.0,50008,28730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,JENSMP,2,0,0,first_order,2020.0,0.0002460479736328125,1,4.997887944964559e-57,0.0,111,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
