id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
1,AKIVA,2,0,0,max_eval,NaN,0.6010639667510986,124,NaN,0.0,50001,50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,ALLINITU,4,0,0,first_order,5.74438491032253,0.004661083221435547,61,5.911413672695969e-6,0.0,2302,1498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,ARGLINA,200,0,0,first_order,200.0000000001862,0.03827095031738281,1,2.697398208816592e-5,0.0,53,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,ARGLINB,200,0,0,first_order,100.08332092098335,0.2948930263519287,7,1.0264684115716686e7,0.0,590,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,ARGLINC,200,0,0,first_order,101.31848047692198,0.2755608558654785,7,6.565286112907544e6,0.0,590,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,ARGTRIGLS,200,0,0,max_time,0.0008206802170798565,10.00649905204773,728,0.4979716799025587,0.0,22945,13255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,BA-L1LS,57,0,0,first_order,7.3176071997909486e-9,0.12952113151550293,67,0.16563517905943825,0.0,2029,1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,BA-L1SPLS,57,0,0,first_order,4.41158182459129e-8,0.3096349239349365,94,0.5173868952456561,0.0,3297,2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,BARD,3,0,0,max_eval,0.009459114183420369,0.11839604377746582,1595,0.004041076616470364,0.0,50026,28688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,BEALE,2,0,0,first_order,9.573806517806676e-10,0.04410696029663086,964,2.798516365021717e-5,0.0,30247,17420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,BENNETT5LS,3,0,0,max_eval,NaN,1.6215760707855225,124,NaN,0.0,50001,50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,BIGGS6,6,0,0,max_eval,0.02570277389454723,0.19699907302856445,1600,0.007134728201421623,0.0,50003,28674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,BOX3,3,0,0,max_eval,4.3335580732000184e-7,0.10201692581176758,1599,4.281849475460595e-5,0.0,50004,28669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,BOXBODLS,2,0,0,first_order,9771.499999990652,0.0006968975067138672,3,6.512067964390932e-8,0.0,460,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,BRKMCC,2,0,0,first_order,0.1690426792820131,0.00878286361694336,304,2.3691184328055997e-5,0.0,9933,5847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,BROWNAL,200,0,0,first_order,1.299597668461744e-6,0.09285306930541992,4,0.007492498395907894,0.0,489,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,BROWNBS,2,0,0,max_eval,1.9436781861103946e11,0.06345915794372559,1087,8.801288504142324e9,0.0,50044,27094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,BROWNDEN,4,0,0,first_order,85822.20200680921,0.0491480827331543,559,2.0565667264980942,0.0,17812,10323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,CERI651ALS,7,0,0,max_eval,397.8978525217176,0.9445290565490723,1107,18462.973930551772,0.0,50020,26882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,CERI651BLS,7,0,0,max_eval,371.9192452242156,1.0763609409332275,1588,11583.87607800126,0.0,50002,28847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,CERI651CLS,7,0,0,max_eval,83.61124932309991,1.0877671241760254,1106,143557.78697580565,0.0,50045,26891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,CERI651DLS,7,0,0,max_eval,26.91440355124705,1.4054210186004639,1105,16359.23337220119,0.0,50012,26875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,CERI651ELS,7,0,0,max_eval,26.735760870784073,1.317680835723877,1592,18.561009036329366,0.0,50043,28761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,CHNROSNB,50,0,0,max_eval,10.692224877267043,0.40102386474609375,1601,3.1396492679741264,0.0,50004,28674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,CHNRSNBM,50,0,0,max_eval,23.723916942516947,0.4003448486328125,1601,3.425919447518915,0.0,50018,28684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,CHWIRUT1LS,3,0,0,first_order,315417.05418285565,0.050375938415527344,19,4.83975479087017,0.0,920,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,CHWIRUT2LS,3,0,0,first_order,90498.0225186446,0.008644819259643555,22,1.3487332768727645,0.0,1013,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,CLIFF,2,0,0,first_order,11396.391743805923,9.703636169433594e-5,1,2.1701146216033407,0.0,91,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,CLUSTERLS,2,0,0,first_order,1.9362497029347075e-9,0.0021741390228271484,43,3.5443727320633493e-6,0.0,1680,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,COATING,134,0,0,max_eval,13.654274019940306,2.0446081161499023,1586,8.42102289266331,0.0,50022,28847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,COOLHANSLS,9,0,0,first_order,0.049321032710356975,0.10626912117004395,1096,3.573195715888892,0.0,34419,19792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
