id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
62,HIMMELBCLS,2,0,0,first_order,1.5903606064864682e-11,9.989738464355469e-5,11,2.8619550489100716e-5,0.0,71,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,HIMMELBF,4,0,0,max_eval,1100.236731448569,0.06207585334777832,1186,89.93278330335252,0.0,50010,27024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,HIMMELBG,2,0,0,first_order,2.3233577251212738e-14,8.106231689453125e-5,9,5.280116177327279e-7,0.0,53,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,HIMMELBH,2,0,0,first_order,-0.9999999999987872,8.20159912109375e-5,10,3.815446438947419e-6,0.0,52,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,HUMPS,2,0,0,max_eval,0.07317050183918848,0.053225040435791016,1113,0.1454909672481907,0.0,50004,26987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,JENSMP,2,0,0,first_order,2020.0,0.0001900196075439453,1,4.997887944964559e-57,0.0,111,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68,JUDGE,2,0,0,first_order,20.482337211263093,0.0020329952239990234,35,0.001837283364685264,0.0,1246,918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,KIRBY2LS,5,0,0,first_order,490348.99948858167,0.0010769367218017578,1,0.35186688280112327,0.0,91,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,KOWOSB,4,0,0,max_eval,0.0003810122835109855,0.0796511173248291,1102,0.0012711032198706657,0.0,50018,27533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71,LANCZOS1LS,6,0,0,max_eval,0.005195282911430817,0.25437116622924805,1180,0.010153172712016883,0.0,50025,27164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,LANCZOS2LS,6,0,0,max_eval,0.005194966323924972,0.2579829692840576,1180,0.010147933226468309,0.0,50025,27164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,LANCZOS3LS,6,0,0,max_eval,0.005192667325496079,0.24839305877685547,1180,0.010151199759258482,0.0,50025,27164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,LOGHAIRY,2,0,0,max_eval,0.1823237708926992,0.06003904342651367,1098,0.0060740545752546605,0.0,50001,29001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75,LSC1LS,3,0,0,max_eval,1732.968908800988,0.06877899169921875,1084,20.930365060593353,0.0,50043,27771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,LSC2LS,3,0,0,max_eval,48.998191033154974,0.0614469051361084,1139,3.476930211852298,0.0,50040,27996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
77,MARATOSB,2,0,0,first_order,0.9958931303140305,0.0005259513854980469,8,0.0905435732636643,0.0,515,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
78,MEXHAT,2,0,0,max_eval,NaN,0.06346893310546875,127,NaN,0.0,50136,50308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,MEYER3,3,0,0,max_eval,NaN,0.15706300735473633,127,NaN,0.0,50122,50305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,MGH09LS,4,0,0,max_eval,0.6873028399171824,0.09261894226074219,1099,0.10038675243243647,0.0,50016,27331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
81,MGH10LS,3,0,0,first_order,9.742856728957738e13,0.001477956771850586,14,2.6543700065065584e9,0.0,527,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,MGH10SLS,3,0,0,first_order,4.0553384360842266e9,0.00021791458129882812,1,10.59135436678208,0.0,91,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
