id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
1,AKIVA,2,0,0,max_eval,NaN,0.6240441799163818,124,NaN,0.0,50001,50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,ALLINITU,4,0,0,first_order,5.744384910323413,0.006712913513183594,101,7.852813609265035e-6,0.0,4096,2463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,BARD,3,0,0,max_eval,0.009693161666389963,0.10006403923034668,1357,0.005421311831584879,0.0,50030,27828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,BEALE,2,0,0,max_eval,1.762104980407674e-8,0.06092500686645508,1358,0.0001238857475127454,0.0,50029,27801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,BENNETT5LS,3,0,0,max_eval,NaN,1.4762520790100098,124,NaN,0.0,50001,50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,BIGGS6,6,0,0,max_eval,0.05970105302093012,0.2091219425201416,1359,0.05567909350873597,0.0,50030,27809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,BOX3,3,0,0,max_eval,5.465196325988711e-7,0.12877821922302246,1359,4.5654355136438215e-5,0.0,50024,27804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,BOXBODLS,2,0,0,first_order,9771.499999990652,0.0009129047393798828,3,6.512067964390932e-8,0.0,460,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,BRKMCC,2,0,0,first_order,0.16904267919922733,0.002218008041381836,41,3.287427639009756e-6,0.0,1828,1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,BROWNBS,2,0,0,max_eval,1.4068346790967938e11,0.05057501792907715,1106,7.008957260364447e9,0.0,50041,26910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
